modality,visit_relationship,temporal_gap_category,tooth_overlap_relation,treatment_stage_relation,treatment_progression,episode_relation,num_visit_pairs,total_shared_images,mean_shared_images
radiographs,non_consecutive,1_7_days,both_missing,one_missing,insufficient_stage_information,possible_same_episode,3,5,1.6666666666666667
radiographs,non_consecutive,1_7_days,no_overlap,one_missing,insufficient_stage_information,possible_different_episode,3,6,2.0
radiographs,non_consecutive,1_7_days,one_missing,overlapping_stage,progression_forward,possible_same_episode,3,9,3.0
radiographs,non_consecutive,1_7_days,partial_overlap,overlapping_stage,progression_backward,likely_same_episode,3,6,2.0
radiographs,consecutive,1_7_days,one_missing,same_stage,same_stage,possible_same_episode,2,3,1.5
radiographs,consecutive,1_7_days,partial_overlap,different_stage,progression_backward,possible_same_episode,2,4,2.0
radiographs,consecutive,1_7_days,partial_overlap,one_missing,insufficient_stage_information,possible_same_episode,2,5,2.5
radiographs,consecutive,over_1_year,one_missing,one_missing,insufficient_stage_information,insufficient_evidence,2,4,2.0
radiographs,non_consecutive,1_7_days,both_missing,different_stage,progression_backward,insufficient_evidence,2,4,2.0
radiographs,non_consecutive,1_7_days,no_overlap,both_missing,insufficient_stage_information,possible_different_episode,2,4,2.0
radiographs,consecutive,1_7_days,both_missing,overlapping_stage,progression_backward,possible_same_episode,1,1,1.0
radiographs,consecutive,1_7_days,both_missing,overlapping_stage,progression_forward,possible_same_episode,1,2,2.0
radiographs,consecutive,1_7_days,both_missing,same_stage,same_stage,possible_same_episode,1,1,1.0
radiographs,consecutive,1_7_days,exact_overlap,both_missing,insufficient_stage_information,likely_same_episode,1,2,2.0
radiographs,consecutive,1_7_days,exact_overlap,overlapping_stage,progression_backward,likely_same_episode,1,2,2.0
radiographs,consecutive,1_7_days,no_overlap,overlapping_stage,continued_or_overlapping,possible_different_episode,1,2,2.0
radiographs,consecutive,1_7_days,no_overlap,overlapping_stage,progression_backward,possible_different_episode,1,2,2.0
radiographs,consecutive,1_7_days,one_missing,both_missing,insufficient_stage_information,insufficient_evidence,1,2,2.0
radiographs,consecutive,1_7_days,partial_overlap,different_stage,progression_forward,possible_same_episode,1,2,2.0
radiographs,consecutive,8_30_days,both_missing,both_missing,insufficient_stage_information,possible_same_episode,1,2,2.0
radiographs,consecutive,over_1_year,no_overlap,one_missing,insufficient_stage_information,likely_different_episode,1,1,1.0
radiographs,consecutive,over_1_year,no_overlap,one_missing,insufficient_stage_information,possible_different_episode,1,2,2.0
radiographs,consecutive,over_1_year,one_missing,one_missing,insufficient_stage_information,possible_different_episode,1,1,1.0
radiographs,non_consecutive,1_7_days,both_missing,both_missing,insufficient_stage_information,possible_same_episode,1,2,2.0
radiographs,non_consecutive,1_7_days,no_overlap,overlapping_stage,progression_backward,possible_different_episode,1,1,1.0
radiographs,non_consecutive,1_7_days,no_overlap,overlapping_stage,progression_forward,possible_different_episode,1,1,1.0
radiographs,non_consecutive,1_7_days,one_missing,overlapping_stage,continued_or_overlapping,possible_same_episode,1,2,2.0
radiographs,non_consecutive,1_7_days,one_missing,same_stage,same_stage,possible_same_episode,1,1,1.0
radiographs,non_consecutive,1_7_days,partial_overlap,different_stage,progression_backward,insufficient_evidence,1,1,1.0
radiographs,non_consecutive,1_7_days,partial_overlap,different_stage,progression_forward,insufficient_evidence,1,2,2.0
radiographs,non_consecutive,8_30_days,one_missing,one_missing,insufficient_stage_information,possible_same_episode,1,2,2.0
radiographs,non_consecutive,over_1_year,both_missing,both_missing,insufficient_stage_information,insufficient_evidence,1,1,1.0
radiographs,non_consecutive,over_1_year,no_overlap,one_missing,insufficient_stage_information,possible_different_episode,1,1,1.0
